claim_id,policy_id,source_system,claimant_anon,claimant_email_anon,claimant_phone_anon,claimant_ssn_anon,claimant_address_anon,anonymization_hash,amount,deductible,coverage_limit,premium_annual,description,date_of_loss,reported_date,adjuster_id,documents,line_of_business,claim_type,claim_subtype,severity,fraud_flag,suspicious_pattern_flag,expected_decision,correct_payout_amount,days_to_first_contact,days_to_investigation_complete,days_to_settle,expected_severity,expected_claim_type,expected_fraud_flag,expected_payout_amount
CLM-2026-02172,HO-2024-676,AS400,CLAIMANT-9F4B86,user-9f4b86d8f8@anonymized.shieldpoint.local,+1-555-9F4-B86D,XXX-XX-9F4B,ADDR-9F4B86-ANON,9F4B86D8F8,89685.48,1000,100000,2422.87,Extensive wind damage reported by CLAIMANT-9F4B86.,2026-09-28,2026-10-02,ADJ-033,contractor_estimate.pdf|adjuster_inspection.pdf|hydrology_report.pdf|photos_wind_damage.pdf,homeowners,homeowners,wind,catastrophic,False,False,route_to_manual_review,0.0,1,18,32,catastrophic,homeowners,False,0.0
CLM-2026-04276,HO-2024-133,AS400,CLAIMANT-35D683,user-35d683e346@anonymized.shieldpoint.local,+1-555-35D-683E,XXX-XX-35D6,ADDR-35D683-ANON,35D683E346,1843.3,2500,300000,2682.69,Minor fire damage reported by CLAIMANT-35D683.,2026-06-19,2026-06-19,ADJ-007,photos_fire_damage.pdf|hydrology_report.pdf,homeowners,homeowners,fire,low,False,False,route_to_manual_review,0.0,1,2,11,low,homeowners,False,0.0
CLM-2026-04494,HE-2024-819,AS400,CLAIMANT-51520E,user-51520e327a@anonymized.shieldpoint.local,+1-555-515-20E3,XXX-XX-5152,ADDR-51520E-ANON,51520E327A,2641.66,1000,500000,941.83,Moderate emergency room treatment claim for CLAIMANT-51520E.,2025-06-09,2025-06-13,ADJ-045,itemized_bill.pdf|treatment_plan.pdf,health,health,emergency_room,medium,False,False,approve,1519.54,2,5,15,medium,health,False,1519.54
CLM-2026-01606,AU-2024-450,AS400,CLAIMANT-C1A506,user-c1a506ffdf@anonymized.shieldpoint.local,+1-555-C1A-506F,XXX-XX-C1A5,ADDR-C1A506-ANON,C1A506FFDF,1102.71,500,250000,1197.34,Small comprehensive theft incident reported by CLAIMANT-C1A506.,2025-02-27,2025-03-05,ADJ-030,repair_estimate.pdf,auto,auto,comprehensive_theft,low,False,False,approve,38.23,2,3,6,low,auto,False,38.23
CLM-2026-03078,AU-2024-044,AS400,CLAIMANT-0B440C,user-0b440c7d15@anonymized.shieldpoint.local,+1-555-0B4-40C7,XXX-XX-0B44,ADDR-0B440C-ANON,0B440C7D15,4320.64,500,300000,2334.02,Noticeable comprehensive weather incident reported by CLAIMANT-0B440C.,2025-01-06,2025-01-06,ADJ-008,repair_estimate.pdf|police_report.pdf|photos_vehicle_damage.pdf,auto,auto,comprehensive_weather,medium,False,False,route_to_manual_review,0.0,2,5,18,medium,auto,False,0.0
CLM-2026-04156,AU-2024-524,AS400,CLAIMANT-226904,user-226904aefa@anonymized.shieldpoint.local,+1-555-226-904A,XXX-XX-2269,ADDR-226904-ANON,226904AEFA,401.69,1000,300000,1455.28,Small vandalism incident reported by CLAIMANT-226904.,2024-09-05,2024-09-12,ADJ-030,repair_estimate.pdf|photos_vehicle_damage.pdf,auto,auto,vandalism,low,True,False,deny,0.0,2,15,17,low,auto,True,0.0
CLM-2026-03080,AU-2024-648,AS400,CLAIMANT-885651,user-885651538a@anonymized.shieldpoint.local,+1-555-885-6515,XXX-XX-8856,ADDR-885651-ANON,885651538A,40392.92,500,300000,2212.08,Catastrophic collision incident reported by CLAIMANT-885651.,2025-08-15,2025-08-19,ADJ-027,medical_report.pdf|photos_vehicle_damage.pdf,auto,auto,collision,catastrophic,False,False,route_to_manual_review,0.0,2,18,23,catastrophic,auto,False,0.0
CLM-2026-03228,HO-2024-145,AS400,CLAIMANT-EA051C,user-ea051c9ac9@anonymized.shieldpoint.local,+1-555-EA0-51C9,XXX-XX-EA05,ADDR-EA051C-ANON,EA051C9AC9,1152.86,1500,100000,1311.31,Small hail damage reported by CLAIMANT-EA051C.,2025-08-20,2025-08-26,ADJ-010,contractor_estimate.pdf,homeowners,homeowners,hail,low,False,False,approve,0.0,2,3,6,low,homeowners,False,0.0
CLM-2026-02873,AU-2024-584,AS400,CLAIMANT-FEAED8,user-feaed8332d@anonymized.shieldpoint.local,+1-555-FEA-ED83,XXX-XX-FEAE,ADDR-FEAED8-ANON,FEAED8332D,369.89,250,500000,2419.78,Small vandalism incident reported by CLAIMANT-FEAED8.,2024-08-19,2024-08-20,ADJ-036,photos_vehicle_damage.pdf|police_report.pdf,auto,auto,vandalism,low,False,False,approve,119.89,1,2,4,low,auto,False,119.89
CLM-2026-02051,AU-2024-752,PORTAL,CLAIMANT-BD3595,user-bd3595542d@anonymized.shieldpoint.local,+1-555-BD3-5955,XXX-XX-BD35,ADDR-BD3595-ANON,BD3595542D,294.75,250,500000,1708.56,Minor comprehensive glass incident reported by CLAIMANT-BD3595.,2026-01-22,2026-01-23,ADJ-036,medical_report.pdf|photos_vehicle_damage.pdf|repair_estimate.pdf,auto,auto,comprehensive_glass,low,False,False,deny,0.0,2,3,5,low,auto,False,0.0
CLM-2026-03021,HE-2024-550,AS400,CLAIMANT-EB1BD9,user-eb1bd9d17d@anonymized.shieldpoint.local,+1-555-EB1-BD9D,XXX-XX-EB1B,ADDR-EB1BD9-ANON,EB1BD9D17D,278.71,250,50000,1072.89,Slight physical therapy treatment claim for CLAIMANT-EB1BD9.,2024-02-01,2024-02-08,ADJ-007,medical_records.pdf|treatment_plan.pdf,health,health,physical_therapy,low,False,False,approve,28.71,1,2,10,low,health,False,28.71
CLM-2026-04667,AU-2024-363,AS400,CLAIMANT-76EE41,user-76ee41372e@anonymized.shieldpoint.local,+1-555-76E-E413,XXX-XX-76EE,ADDR-76EE41-ANON,76EE41372E,716.52,500,250000,2532.88,Slight collision incident reported by CLAIMANT-76EE41.,2025-11-07,2025-11-11,ADJ-008,photos_vehicle_damage.pdf,auto,auto,collision,low,False,False,deny,0.0,2,3,5,low,auto,False,0.0
CLM-2026-01484,HO-2024-101,AS400,CLAIMANT-833B60,user-833b607a3d@anonymized.shieldpoint.local,+1-555-833-B607,XXX-XX-833B,ADDR-833B60-ANON,833B607A3D,23643.96,1000,500000,1187.21,Significant mold damage reported by CLAIMANT-833B60. Note: peril typically excluded from standard policy.,2024-02-13,2024-02-18,ADJ-033,contractor_estimate.pdf|photos_mold_damage.pdf,homeowners,homeowners,mold,high,False,False,deny,0.0,1,9,12,high,homeowners,False,0.0
CLM-2026-01827,HO-2024-074,AS400,CLAIMANT-831DC0,user-831dc02105@anonymized.shieldpoint.local,+1-555-831-DC02,XXX-XX-831D,ADDR-831DC0-ANON,831DC02105,6790.22,500,50000,1503.38,Noticeable water damage damage reported by CLAIMANT-831DC0.,2026-09-14,2026-09-19,ADJ-044,hydrology_report.pdf,homeowners,homeowners,water_damage,medium,False,False,approve,4388.58,3,5,16,medium,homeowners,False,4388.58
CLM-2026-02607,AU-2024-667,AS400,CLAIMANT-A33323,user-a333234cf0@anonymized.shieldpoint.local,+1-555-A33-3234,XXX-XX-A333,ADDR-A33323-ANON,A333234CF0,639.32,500,100000,1921.11,Small comprehensive weather incident reported by CLAIMANT-A33323.,2025-11-22,2025-11-24,ADJ-044,police_report.pdf|photos_vehicle_damage.pdf|repair_estimate.pdf|medical_report.pdf,auto,auto,comprehensive_weather,low,False,False,route_to_manual_review,0.0,1,2,14,low,auto,False,0.0
CLM-2026-03911,HO-2024-505,AS400,CLAIMANT-EDFF48,user-edff48d8ab@anonymized.shieldpoint.local,+1-555-EDF-F48D,XXX-XX-EDFF,ADDR-EDFF48-ANON,EDFF48D8AB,1207.57,250,150000,2327.56,Minor water damage damage reported by CLAIMANT-EDFF48.,2024-06-24,2024-06-24,ADJ-025,hydrology_report.pdf,homeowners,homeowners,water_damage,low,False,False,route_to_manual_review,0.0,1,2,14,low,homeowners,False,0.0
CLM-2026-01490,HO-2024-475,AS400,CLAIMANT-25C6E5,user-25c6e5dbbb@anonymized.shieldpoint.local,+1-555-25C-6E5D,XXX-XX-25C6,ADDR-25C6E5-ANON,25C6E5DBBB,6055.0,1500,250000,1702.46,Noticeable theft damage reported by CLAIMANT-25C6E5.,2026-05-08,2026-05-10,ADJ-036,photos_theft_damage.pdf|adjuster_inspection.pdf|hydrology_report.pdf,homeowners,homeowners,theft,medium,False,False,approve,2805.85,2,5,12,medium,homeowners,False,2805.85
CLM-2026-01924,HO-2024-017,AS400,CLAIMANT-96F32A,user-96f32a4213@anonymized.shieldpoint.local,+1-555-96F-32A4,XXX-XX-96F3,ADDR-96F32A-ANON,96F32A4213,866.79,1000,100000,2850.26,Minor mold damage reported by CLAIMANT-96F32A. Note: peril typically excluded from standard policy.,2024-08-25,2024-08-27,ADJ-009,adjuster_inspection.pdf|photos_mold_damage.pdf|hydrology_report.pdf|contractor_estimate.pdf,homeowners,homeowners,mold,low,False,False,deny,0.0,1,2,3,low,homeowners,False,0.0
CLM-2026-02326,HO-2024-785,AS400,CLAIMANT-7A112D,user-7a112d954b@anonymized.shieldpoint.local,+1-555-7A1-12D9,XXX-XX-7A11,ADDR-7A112D-ANON,7A112D954B,1676.5,250,150000,1117.29,Small lightning damage reported by CLAIMANT-7A112D.,2024-08-07,2024-08-12,ADJ-045,hydrology_report.pdf,homeowners,homeowners,lightning,low,False,False,route_to_manual_review,0.0,2,3,8,low,homeowners,False,0.0
CLM-2026-03901,HO-2024-931,PORTAL,CLAIMANT-609758,user-609758a0fa@anonymized.shieldpoint.local,+1-555-609-758A,XXX-XX-6097,ADDR-609758-ANON,609758A0FA,4434.94,2500,100000,2644.83,Noticeable smoke damage reported by CLAIMANT-609758.,2024-04-17,2024-04-19,ADJ-038,photos_smoke_damage.pdf,homeowners,homeowners,smoke,medium,True,False,deny,0.0,2,20,22,medium,homeowners,True,0.0
CLM-2026-02429,HO-2024-894,PORTAL,CLAIMANT-F020B8,user-f020b8e237@anonymized.shieldpoint.local,+1-555-F02-0B8E,XXX-XX-F020,ADDR-F020B8-ANON,F020B8E237,6144.9,1000,250000,2718.2,Noticeable hail damage reported by CLAIMANT-F020B8.,2025-01-15,2025-01-16,ADJ-042,adjuster_inspection.pdf|hydrology_report.pdf,homeowners,homeowners,hail,medium,False,False,route_to_manual_review,0.0,2,5,14,medium,homeowners,False,0.0
CLM-2026-02977,HE-2024-093,AS400,CLAIMANT-2DDCC1,user-2ddcc119d2@anonymized.shieldpoint.local,+1-555-2DD-CC11,XXX-XX-2DDC,ADDR-2DDCC1-ANON,2DDCC119D2,389.28,1500,300000,2037.4,Slight emergency room treatment claim for CLAIMANT-2DDCC1.,2024-12-12,2024-12-19,ADJ-043,prior_authorization.pdf|itemized_bill.pdf,health,health,emergency_room,low,False,False,deny,0.0,2,3,5,low,health,False,0.0
CLM-2026-02996,HO-2024-325,AS400,CLAIMANT-758414,user-7584143eb5@anonymized.shieldpoint.local,+1-555-758-4143,XXX-XX-7584,ADDR-758414-ANON,7584143EB5,625.6,1500,500000,1941.71,Minor wear and tear damage reported by CLAIMANT-758414. Note: peril typically excluded from standard policy.,2025-07-07,2025-07-07,ADJ-023,hydrology_report.pdf|adjuster_inspection.pdf|photos_wear_and_tear_damage.pdf,homeowners,homeowners,wear_and_tear,low,False,False,deny,0.0,1,2,5,low,homeowners,False,0.0
CLM-2026-01796,HO-2024-015,PORTAL,CLAIMANT-1B0612,user-1b0612a054@anonymized.shieldpoint.local,+1-555-1B0-612A,XXX-XX-1B06,ADDR-1B0612-ANON,1B0612A054,4730.47,250,250000,2935.94,Moderate wind damage reported by CLAIMANT-1B0612.,2024-11-12,2024-11-14,ADJ-007,photos_wind_damage.pdf|contractor_estimate.pdf|hydrology_report.pdf,homeowners,homeowners,wind,medium,False,False,approve,4088.57,3,5,13,medium,homeowners,False,4088.57
CLM-2026-02692,HO-2024-387,AS400,CLAIMANT-0CC664,user-0cc6645aa2@anonymized.shieldpoint.local,+1-555-0CC-6645,XXX-XX-0CC6,ADDR-0CC664-ANON,0CC6645AA2,839.79,1500,250000,2891.49,Minor wind damage reported by CLAIMANT-0CC664.,2024-07-18,2024-07-23,ADJ-031,photos_wind_damage.pdf|contractor_estimate.pdf|adjuster_inspection.pdf|hydrology_report.pdf,homeowners,homeowners,wind,low,False,False,approve,0.0,2,3,4,low,homeowners,False,0.0
CLM-2026-01909,HO-2024-824,AS400,CLAIMANT-50DF42,user-50df426456@anonymized.shieldpoint.local,+1-555-50D-F426,XXX-XX-50DF,ADDR-50DF42-ANON,50DF426456,5358.67,250,100000,2379.26,Moderate wind damage reported by CLAIMANT-50DF42.,2024-12-05,2024-12-05,ADJ-036,photos_wind_damage.pdf|hydrology_report.pdf|adjuster_inspection.pdf,homeowners,homeowners,wind,medium,False,False,approve,4663.94,3,5,14,medium,homeowners,False,4663.94
CLM-2026-02426,HO-2024-760,AS400,CLAIMANT-9EC6CB,user-9ec6cbb0a6@anonymized.shieldpoint.local,+1-555-9EC-6CBB,XXX-XX-9EC6,ADDR-9EC6CB-ANON,9EC6CBB0A6,23810.68,500,50000,2401.25,Significant hail damage reported by CLAIMANT-9EC6CB.,2026-12-27,2026-12-31,ADJ-042,contractor_estimate.pdf|photos_hail_damage.pdf|adjuster_inspection.pdf,homeowners,homeowners,hail,high,False,False,route_to_manual_review,0.0,1,9,19,high,homeowners,False,0.0
CLM-2026-00838,HO-2024-226,AS400,CLAIMANT-0146DD,user-0146ddc431@anonymized.shieldpoint.local,+1-555-014-6DDC,XXX-XX-0146,ADDR-0146DD-ANON,0146DDC431,698.07,2500,50000,1136.03,Slight smoke damage reported by CLAIMANT-0146DD.,2025-05-15,2025-05-22,ADJ-041,hydrology_report.pdf|contractor_estimate.pdf,homeowners,homeowners,smoke,low,False,False,route_to_manual_review,0.0,1,2,12,low,homeowners,False,0.0
CLM-2026-00735,HO-2024-921,AS400,CLAIMANT-06360A,user-06360a7fb7@anonymized.shieldpoint.local,+1-555-063-60A7,XXX-XX-0636,ADDR-06360A-ANON,06360A7FB7,31074.31,250,300000,1340.41,Significant water damage damage reported by CLAIMANT-06360A.,2024-06-03,2024-06-03,ADJ-011,contractor_estimate.pdf,homeowners,homeowners,water_damage,high,False,False,route_to_manual_review,0.0,1,9,19,high,homeowners,False,0.0
CLM-2026-03291,HO-2024-009,AS400,CLAIMANT-C8117D,user-c8117d9bb2@anonymized.shieldpoint.local,+1-555-C81-17D9,XXX-XX-C811,ADDR-C8117D-ANON,C8117D9BB2,5167.83,1500,250000,1297.28,Moderate hail damage reported by CLAIMANT-C8117D.,2024-08-16,2024-08-21,ADJ-006,adjuster_inspection.pdf|hydrology_report.pdf|contractor_estimate.pdf,homeowners,homeowners,hail,medium,False,True,route_to_manual_review,0.0,3,11,16,medium,homeowners,False,0.0
CLM-2026-02197,AU-2024-406,AS400,CLAIMANT-F46760,user-f46760577f@anonymized.shieldpoint.local,+1-555-F46-7605,XXX-XX-F467,ADDR-F46760-ANON,F46760577F,691.0,500,300000,2802.91,Minor collision incident reported by CLAIMANT-F46760.,2025-11-02,2025-11-05,ADJ-036,police_report.pdf,auto,auto,collision,low,False,False,approve,58.68,1,2,9,low,auto,False,58.68
CLM-2026-00174,HO-2024-231,AS400,CLAIMANT-905F38,user-905f382b67@anonymized.shieldpoint.local,+1-555-905-F382,XXX-XX-905F,ADDR-905F38-ANON,905F382B67,1537.88,250,300000,3077.88,Small water damage damage reported by CLAIMANT-905F38.,2026-03-14,2026-03-18,ADJ-010,hydrology_report.pdf|photos_water_damage_damage.pdf,homeowners,homeowners,water_damage,low,False,False,approve,648.34,2,3,10,low,homeowners,False,648.34
CLM-2026-00999,HO-2024-791,AS400,CLAIMANT-10D6D3,user-10d6d32cc2@anonymized.shieldpoint.local,+1-555-10D-6D32,XXX-XX-10D6,ADDR-10D6D3-ANON,10D6D32CC2,842.96,500,100000,3170.78,Minor hail damage reported by CLAIMANT-10D6D3.,2025-02-16,2025-02-22,ADJ-034,hydrology_report.pdf,homeowners,homeowners,hail,low,False,True,route_to_manual_review,0.0,1,17,32,low,homeowners,False,0.0
CLM-2026-00745,HO-2024-011,AS400,CLAIMANT-47019F,user-47019fc4c0@anonymized.shieldpoint.local,+1-555-470-19FC,XXX-XX-4701,ADDR-47019F-ANON,47019FC4C0,42181.0,2500,500000,3054.54,Severe fire damage reported by CLAIMANT-47019F.,2024-11-04,2024-11-07,ADJ-001,photos_fire_damage.pdf|contractor_estimate.pdf|adjuster_inspection.pdf|hydrology_report.pdf,homeowners,homeowners,fire,high,False,False,route_to_manual_review,0.0,1,9,20,high,homeowners,False,0.0
CLM-2026-03920,HO-2024-565,AS400,CLAIMANT-1DE7C0,user-1de7c04197@anonymized.shieldpoint.local,+1-555-1DE-7C04,XXX-XX-1DE7,ADDR-1DE7C0-ANON,1DE7C04197,34390.29,500,250000,2518.48,Severe flood damage reported by CLAIMANT-1DE7C0. Note: peril typically excluded from standard policy.,2025-07-23,2025-07-26,ADJ-025,photos_flood_damage.pdf|contractor_estimate.pdf,homeowners,homeowners,flood,high,False,False,deny,0.0,1,9,11,high,homeowners,False,0.0
CLM-2026-00773,HO-2024-095,AS400,CLAIMANT-0CA866,user-0ca8667ab2@anonymized.shieldpoint.local,+1-555-0CA-8667,XXX-XX-0CA8,ADDR-0CA866-ANON,0CA8667AB2,16510.95,250,300000,2478.3,Significant wind damage reported by CLAIMANT-0CA866.,2026-05-18,2026-05-23,ADJ-035,hydrology_report.pdf|photos_wind_damage.pdf|adjuster_inspection.pdf|contractor_estimate.pdf,homeowners,homeowners,wind,high,False,False,approve,16260.95,2,9,25,high,homeowners,False,16260.95
CLM-2026-02643,HO-2024-655,AS400,CLAIMANT-1B5954,user-1b5954e2a4@anonymized.shieldpoint.local,+1-555-1B5-954E,XXX-XX-1B59,ADDR-1B5954-ANON,1B5954E2A4,828.04,1000,100000,2444.28,Minor smoke damage reported by CLAIMANT-1B5954.,2024-08-19,2024-08-20,ADJ-033,adjuster_inspection.pdf,homeowners,homeowners,smoke,low,False,False,approve,0.0,2,3,10,low,homeowners,False,0.0
CLM-2026-02142,AU-2024-919,AS400,CLAIMANT-7BAF00,user-7baf00b459@anonymized.shieldpoint.local,+1-555-7BA-F00B,XXX-XX-7BAF,ADDR-7BAF00-ANON,7BAF00B459,17907.2,250,150000,1375.91,Severe pip medical incident reported by CLAIMANT-7BAF00.,2026-04-12,2026-04-16,ADJ-029,police_report.pdf|photos_vehicle_damage.pdf,auto,auto,pip_medical,high,False,False,approve,11880.65,1,9,23,high,auto,False,11880.65
CLM-2026-04282,HE-2024-226,AS400,CLAIMANT-B7356B,user-b7356b4f64@anonymized.shieldpoint.local,+1-555-B73-56B4,XXX-XX-B735,ADDR-B7356B-ANON,B7356B4F64,1516.02,2500,250000,1128.87,Slight surgery emergency treatment claim for CLAIMANT-B7356B.,2025-05-01,2025-05-06,ADJ-009,treatment_plan.pdf|prior_authorization.pdf|itemized_bill.pdf|medical_records.pdf,health,health,surgery_emergency,low,False,False,approve,0.0,1,2,10,low,health,False,0.0
CLM-2026-03278,HO-2024-306,AS400,CLAIMANT-1547FD,user-1547fd36b7@anonymized.shieldpoint.local,+1-555-154-7FD3,XXX-XX-1547,ADDR-1547FD-ANON,1547FD36B7,11676.54,1000,100000,1350.51,Noticeable fire damage reported by CLAIMANT-1547FD.,2026-07-24,2026-07-28,ADJ-014,adjuster_inspection.pdf,homeowners,homeowners,fire,medium,False,False,approve,2862.02,2,5,12,medium,homeowners,False,2862.02
CLM-2026-02134,HO-2024-329,AS400,CLAIMANT-FE1FC8,user-fe1fc800cc@anonymized.shieldpoint.local,+1-555-FE1-FC80,XXX-XX-FE1F,ADDR-FE1FC8-ANON,FE1FC800CC,75195.25,250,500000,1216.71,Catastrophic smoke damage reported by CLAIMANT-FE1FC8.,2026-01-26,2026-01-28,ADJ-015,adjuster_inspection.pdf|photos_smoke_damage.pdf|contractor_estimate.pdf,homeowners,homeowners,smoke,catastrophic,False,False,route_to_manual_review,0.0,2,18,31,catastrophic,homeowners,False,0.0
CLM-2026-03476,HO-2024-933,AS400,CLAIMANT-DD5FD4,user-dd5fd4ff27@anonymized.shieldpoint.local,+1-555-DD5-FD4F,XXX-XX-DD5F,ADDR-DD5FD4-ANON,DD5FD4FF27,2164.95,500,100000,1183.24,Minor flood damage reported by CLAIMANT-DD5FD4. Note: peril typically excluded from standard policy.,2026-03-25,2026-03-26,ADJ-018,adjuster_inspection.pdf,homeowners,homeowners,flood,low,False,False,deny,0.0,1,2,5,low,homeowners,False,0.0
CLM-2026-03091,AU-2024-691,AS400,CLAIMANT-A4A4E8,user-a4a4e8a101@anonymized.shieldpoint.local,+1-555-A4A-4E8A,XXX-XX-A4A4,ADDR-A4A4E8-ANON,A4A4E8A101,653.99,2500,100000,851.14,Slight collision incident reported by CLAIMANT-A4A4E8.,2024-05-21,2024-05-23,ADJ-008,repair_estimate.pdf|photos_vehicle_damage.pdf|medical_report.pdf,auto,auto,collision,low,False,False,approve,0.0,1,2,6,low,auto,False,0.0
CLM-2026-00500,AU-2024-917,PORTAL,CLAIMANT-0D8312,user-0d83128193@anonymized.shieldpoint.local,+1-555-0D8-3128,XXX-XX-0D83,ADDR-0D8312-ANON,0D83128193,7286.2,2500,50000,2002.19,Moderate uninsured motorist incident reported by CLAIMANT-0D8312.,2025-08-08,2025-08-15,ADJ-004,repair_estimate.pdf|medical_report.pdf,auto,auto,uninsured_motorist,medium,False,False,approve,658.9,2,5,13,medium,auto,False,658.9
CLM-2026-04182,AU-2024-014,PORTAL,CLAIMANT-C0944E,user-c0944e9dde@anonymized.shieldpoint.local,+1-555-C09-44E9,XXX-XX-C094,ADDR-C0944E-ANON,C0944E9DDE,695.7,1000,150000,1453.56,Slight collision incident reported by CLAIMANT-C0944E.,2024-06-14,2024-06-21,ADJ-041,medical_report.pdf|photos_vehicle_damage.pdf|repair_estimate.pdf|police_report.pdf,auto,auto,collision,low,False,True,route_to_manual_review,0.0,1,10,24,low,auto,False,0.0
